Date,Year,Month,Week,Store_ID,Product_ID,Category,Season,Holiday,Promotion,Price,Inventory_Level,Temperature,Rainfall,Quantity_Sold,Sales
2015-01-01,2015,1,1,S01,P013,Grocery,Winter,Yes,No,53.76,221,11,5,149,8010.24
2015-01-01,2015,1,1,S02,P009,Grocery,Winter,Yes,No,104.73,244,29,4,125,13091.25
2015-01-01,2015,1,1,S03,P024,Toys,Winter,Yes,No,42.96,551,17,7,106,4553.76
2015-01-01,2015,1,1,S04,P018,Beverages,Winter,Yes,Yes,21.9,500,36,3,146,3197.4
2015-01-01,2015,1,1,S05,P027,Bakery,Winter,Yes,No,40.41,497,23,2,126,5091.66
2015-01-01,2015,1,1,S06,P021,Electronics,Winter,Yes,No,83.14,375,37,11,73,6069.22
2015-01-01,2015,1,1,S07,P017,Toys,Winter,Yes,No,113.47,177,26,8,74,8396.78
2015-01-08,2015,1,2,S01,P014,Toys,Winter,No,No,103.96,597,36,12,68,7069.28
2015-01-08,2015,1,2,S02,P029,Clothing,Winter,No,No,96.97,142,18,11,30,2909.1
2015-01-08,2015,1,2,S03,P008,Home,Winter,No,No,61.34,527,27,3,79,4845.86
2015-01-08,2015,1,2,S04,P040,Beverages,Winter,No,Yes,73.62,433,32,9,98,7214.76
2015-01-08,2015,1,2,S05,P026,Toys,Winter,No,No,6.93,112,16,4,114,790.02
2015-01-08,2015,1,2,S06,P019,Clothing,Winter,No,Yes,90.53,113,19,1,154,13941.62
2015-01-08,2015,1,2,S07,P014,Toys,Winter,No,No,119.65,479,30,7,126,15075.9
2015-01-15,2015,1,3,S01,P029,Electronics,Winter,No,Yes,101.23,572,21,2,102,10325.46
2015-01-15,2015,1,3,S02,P015,Beverages,Winter,No,No,47.34,676,12,7,66,3124.44
2015-01-15,2015,1,3,S03,P037,Grocery,Winter,No,No,88.78,568,21,1,41,3639.98
2015-01-15,2015,1,3,S04,P035,Electronics,Winter,No,No,116.42,500,23,6,87,10128.54
2015-01-15,2015,1,3,S05,P006,Grocery,Winter,No,No,60.39,294,32,11,56,3381.84
2015-01-15,2015,1,3,S06,P037,Home,Winter,No,Yes,83.16,461,34,4,153,12723.48
2015-01-15,2015,1,3,S07,P021,Toys,Winter,No,No,112.89,794,11,4,121,13659.69
2015-01-22,2015,1,4,S01,P036,Beverages,Winter,No,No,27.19,871,24,9,119,3235.61
2015-01-22,2015,1,4,S02,P030,Bakery,Winter,No,No,112.1,784,10,6,68,7622.8
2015-01-22,2015,1,4,S03,P007,Bakery,Winter,No,No,62.48,622,17,2,80,4998.4
2015-01-22,2015,1,4,S04,P009,Bakery,Winter,No,Yes,7.38,634,13,8,59,435.42
2015-01-22,2015,1,4,S05,P024,Toys,Winter,No,No,84.06,272,10,9,110,9246.6
2015-01-22,2015,1,4,S06,P020,Electronics,Winter,No,No,83.58,175,30,7,25,2089.5
2015-01-22,2015,1,4,S07,P010,Home,Winter,No,Yes,11.71,397,13,7,91,1065.61
2015-01-29,2015,1,5,S01,P014,Bakery,Winter,No,Yes,94.19,272,25,12,46,4332.74
2015-01-29,2015,1,5,S02,P033,Beverages,Winter,No,No,110.85,122,14,5,126,13967.1
2015-01-29,2015,1,5,S03,P015,Beverages,Winter,No,Yes,33.33,221,28,11,46,1533.18
2015-01-29,2015,1,5,S04,P007,Beverages,Winter,No,No,100.64,768,35,8,64,6440.96
2015-01-29,2015,1,5,S05,P013,Home,Winter,No,No,81.88,439,11,11,63,5158.44
2015-01-29,2015,1,5,S06,P038,Beverages,Winter,No,No,20.84,894,22,4,77,1604.68
2015-01-29,2015,1,5,S07,P032,Grocery,Winter,No,No,102.37,263,32,9,37,3787.69
2015-02-05,2015,2,6,S01,P016,Bakery,Winter,No,No,31.42,409,32,0,37,1162.54
2015-02-05,2015,2,6,S02,P036,Beverages,Winter,No,No,69.31,460,19,12,75,5198.25
2015-02-05,2015,2,6,S03,P004,Home,Winter,No,Yes,73.38,158,38,9,59,4329.42
2015-02-05,2015,2,6,S04,P035,Home,Winter,No,No,73.95,849,11,4,102,7542.9
2015-02-05,2015,2,6,S05,P036,Grocery,Winter,No,No,74.79,858,28,8,93,6955.47
2015-02-05,2015,2,6,S06,P029,Toys,Winter,No,No,78.03,557,34,6,83,6476.49
2015-02-05,2015,2,6,S07,P006,Bakery,Winter,No,No,61.78,221,22,10,102,6301.56
2015-02-12,2015,2,7,S01,P035,Home,Winter,No,No,90.75,370,26,1,135,12251.25
2015-02-12,2015,2,7,S02,P023,Toys,Winter,No,Yes,68.08,548,37,7,120,8169.6
2015-02-12,2015,2,7,S03,P017,Grocery,Winter,No,No,72.49,823,38,4,55,3986.95
2015-02-12,2015,2,7,S04,P039,Electronics,Winter,No,Yes,34.84,514,13,0,137,4773.08
2015-02-12,2015,2,7,S05,P036,Home,Winter,No,No,14.35,470,12,8,111,1592.85
